code_display
Full-time employment (finding)
Part-time employment (finding)
Stress (finding)
Social isolation (finding)
Reports of violence in the environment (finding)
Limited social contact (finding)
Not in labor force (finding)
Received higher education (finding)
Housing unsatisfactory (finding)
Medication review due (situation)
Normal pregnancy
Normal pregnancy (finding)
Risk activity involvement (finding)
Victim of intimate partner abuse (finding)
Only received primary school education (finding)
Has a criminal record (finding)
Unemployed (finding)
Lack of access to transportation (finding)
Transport problem (finding)
